region,quantile,Year,Estimate,Std..Error,P_value,upper,lower,cv,mk_pvalue,sens_slope,mk_symbol,regional_mean_CV
a. Pacific Northwest,10,2003,0.63787777033065,0.0746,0,0.784,0.4918,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1995,0.6619725730451,0.0585,0,0.7766,0.5474,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1985,0.715210184682027,0.0622,0,0.8371,0.5933,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2006,0.686286593900277,0.0665,0,0.8166,0.5559,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1998,0.761527814771282,0.0692,0,0.8972,0.6259,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1993,0.731110082010475,0.0612,0,0.851,0.6112,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2005,0.823564878668591,0.0746,0,0.9698,0.6773,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1989,0.687493618716894,0.0627,0,0.8103,0.5647,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1986,0.657987227406418,0.0621,0,0.7798,0.5362,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1999,0.698820240777956,0.055,0,0.8065,0.5911,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1992,0.663386822272401,0.0756,0,0.8115,0.5153,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,50,2013,1.39882229956255,0.0564,0,1.5094,1.2883,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1982,1.38834574065871,0.0643,0,1.5144,1.2623,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1985,1.35540497149502,0.068,0,1.4886,1.2222,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2017,1.52313957121659,0.058,0,1.6368,1.4095,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2010,1.48128828311468,0.0639,0,1.6065,1.3561,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2004,1.37831777241105,0.0591,0,1.4941,1.2625,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1997,1.36482432445335,0.0541,0,1.4709,1.2587,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2019,1.30255810271516,0.0667,0,1.4332,1.1719,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2003,1.35564905398762,0.0668,0,1.4865,1.2247,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2001,1.42072956316003,0.0703,0,1.5585,1.2829,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2002,1.38646978675729,0.0607,0,1.5055,1.2674,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1984,1.48832533434545,0.0682,0,1.6219,1.3548,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2016,1.27792553084895,0.0576,0,1.3907,1.1651,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2009,1.43167174982283,0.0679,0,1.5647,1.2986,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2006,1.4103894621403,0.0599,0,1.5277,1.2931,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1991,1.39836261920267,0.0631,0,1.522,1.2747,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2012,1.43235569998257,0.0588,0,1.5475,1.3172,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2020,1.37736849945202,0.0675,0,1.5097,1.245,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2014,1.46025810950422,0.0633,0,1.5843,1.3362,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1992,1.30962323248394,0.0701,0,1.447,1.1722,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1996,1.38076200025373,0.0607,0,1.4997,1.2618,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2015,1.43192687862275,0.0676,0,1.5645,1.2994,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2005,1.53946654329572,0.0749,0,1.6862,1.3927,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2008,1.47037216714144,0.0635,0,1.5949,1.3459,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1988,1.37743523353372,0.0696,0,1.5139,1.2409,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2018,1.46469498890203,0.0656,0,1.5933,1.3361,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1998,1.53589397142977,0.0616,0,1.6566,1.4152,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2011,1.51691223725334,0.0622,0,1.6388,1.395,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2000,1.43253288038501,0.0597,0,1.5496,1.3154,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1994,1.40132818041132,0.0754,0,1.5491,1.2535,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1989,1.39697202542976,0.0661,0,1.5266,1.2674,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1995,1.38720438330606,0.0655,0,1.5156,1.2588,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,2007,1.39202517045426,0.062,0,1.5135,1.2706,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1987,1.41484239540291,0.072,0,1.5561,1.2736,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1983,1.39305020757099,0.0653,0,1.521,1.2651,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1993,1.44260208396668,0.0696,0,1.579,1.3062,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1990,1.40067254659774,0.0645,0,1.527,1.2743,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1999,1.39022561476688,0.0624,0,1.5125,1.268,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,50,1986,1.36307187996203,0.0645,0,1.4895,1.2366,Q50: 4%,0.145,0.06,Q50: =,5.33
a. Pacific Northwest,90,2006,1.71040939821016,0.0563,0,1.8207,1.6001,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2019,1.537171610195,0.0585,0,1.6519,1.4224,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2018,1.65257184043198,0.0593,0,1.7687,1.5364,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1983,1.52748941779775,0.0593,0,1.6437,1.4113,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2017,1.576008719452,0.0505,0,1.675,1.477,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2014,1.6413010739795,0.0601,0,1.7591,1.5235,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2005,1.5993785180464,0.0622,0,1.7213,1.4774,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2015,1.64088920160419,0.0619,0,1.7622,1.5196,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2020,1.60422429579608,0.0577,0,1.7173,1.4912,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1999,1.58481773798221,0.0576,0,1.6978,1.4719,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2002,1.60396394131498,0.0564,0,1.7146,1.4934,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2012,1.65217389210813,0.0582,0,1.7662,1.5381,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2008,1.64214459029239,0.0585,0,1.7569,1.5274,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2007,1.64270962784763,0.0582,0,1.7567,1.5287,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2016,1.61356726952946,0.0568,0,1.725,1.5022,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2003,1.66250999260653,0.0602,0,1.7805,1.5446,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1993,1.56192667580516,0.0572,0,1.674,1.4499,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2013,1.52196121528427,0.0532,0,1.6262,1.4177,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1989,1.63390580022211,0.0598,0,1.7511,1.5167,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1994,1.60959817920107,0.0689,0,1.7446,1.4745,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1992,1.53401290859605,0.0646,0,1.6607,1.4074,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2011,1.60728007807208,0.0553,0,1.7156,1.499,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2010,1.55593349822988,0.0563,0,1.6663,1.4456,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1988,1.51393537096406,0.0623,0,1.636,1.3918,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2000,1.59808210149695,0.0556,0,1.707,1.4891,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2004,1.54485912218462,0.0568,0,1.6562,1.4335,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2009,1.58367363945149,0.0613,0,1.7038,1.4635,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1987,1.62025080359076,0.0697,0,1.7568,1.4837,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1991,1.53212878695126,0.058,0,1.6458,1.4185,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1995,1.50376200746175,0.0604,0,1.6221,1.3854,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1990,1.5399862676529,0.0572,0,1.6521,1.4279,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1986,1.51604727704752,0.0599,0,1.6334,1.3987,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1984,1.56927321571295,0.0606,0,1.6881,1.4505,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1985,1.56577553414658,0.0594,0,1.6822,1.4494,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,2001,1.56370225289651,0.066,0,1.693,1.4344,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1998,1.660587655054,0.0558,0,1.77,1.5512,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1996,1.56738549143848,0.0554,0,1.676,1.4588,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1982,1.59139257418533,0.0561,0,1.7013,1.4814,Q90: 3%,0.042,0.07,Q90: ↑,5.33
a. Pacific Northwest,90,1997,1.50377338049076,0.0513,0,1.6044,1.4032,Q90: 3%,0.042,0.07,Q90: ↑,5.33
b. East,10,1996,1.69861525606817,0.0281,0,1.7537,1.6436,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2008,1.4719452713451,0.0288,0,1.5284,1.4154,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2004,2.00407382232456,0.0288,0,2.0605,1.9477,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2001,1.8180538500565,0.0351,0,1.8869,1.7492,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1997,1.64754822393483,0.0288,0,1.7039,1.5912,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1993,1.63621136675347,0.0288,0,1.6927,1.5798,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1989,1.70058996248049,0.0309,0,1.7612,1.64,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1990,1.97898807408218,0.0314,0,2.0406,1.9174,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2016,1.82170929035565,0.0303,0,1.8811,1.7623,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2005,1.94143823497593,0.0326,0,2.0054,1.8775,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2019,1.80061089440951,0.0268,0,1.8531,1.7481,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1999,1.41586924951688,0.0293,0,1.4733,1.3584,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2010,1.70470593898559,0.03,0,1.7636,1.6458,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2012,1.80984049869072,0.0307,0,1.8701,1.7496,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1995,1.86660283229477,0.0342,0,1.9336,1.7996,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1983,1.65318145681364,0.03,0,1.7119,1.5944,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1991,1.70541683581785,0.0298,0,1.7637,1.6471,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2009,1.71466342858569,0.0336,0,1.7806,1.6487,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1992,1.73171801220597,0.034,0,1.7985,1.665,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2002,1.53502607837615,0.0308,0,1.5954,1.4747,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2007,1.66223633317398,0.0303,0,1.7217,1.6028,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2006,1.84372602896624,0.0296,0,1.9017,1.7858,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2013,1.86000828937931,0.0331,0,1.9249,1.7952,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2003,1.791374880045,0.0287,0,1.8476,1.7351,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1984,1.58552347897304,0.0275,0,1.6394,1.5316,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1986,1.86425400525752,0.0331,0,1.9291,1.7994,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1998,1.63492159082847,0.029,0,1.6917,1.5782,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1982,1.66706956373661,0.0321,0,1.73,1.6041,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2020,1.67746094469312,0.0267,0,1.7299,1.625,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2015,1.73538312613747,0.0287,0,1.7917,1.6791,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1985,1.81021628233324,0.032,0,1.873,1.7474,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1988,1.78348447492663,0.0339,0,1.8499,1.7171,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1987,1.70257094329269,0.0295,0,1.7603,1.6448,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2017,1.72193262805318,0.0308,0,1.7822,1.6617,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2011,1.63664106035107,0.0288,0,1.6932,1.5801,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2000,1.86056770223296,0.0335,0,1.9261,1.795,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2018,1.76629330801565,0.0295,0,1.8242,1.7084,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,1994,1.68467691708973,0.0298,0,1.7431,1.6263,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,10,2014,1.81456395190281,0.0314,0,1.8761,1.7531,Q10: 7%,0.669,0.03,Q10: =,7.33
b. East,50,2008,1.48600924463742,0.0195,0,1.5242,1.4478,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2002,1.3336171412668,0.0235,0,1.3796,1.2876,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2005,1.89848030425449,0.0222,0,1.9419,1.855,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2016,1.64546005975515,0.0202,0,1.6851,1.6059,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2007,1.76914255079719,0.021,0,1.8103,1.728,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2017,1.6021971272568,0.0215,0,1.6444,1.56,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2004,1.77467363920484,0.0198,0,1.8136,1.7358,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2019,1.88495638929149,0.0189,0,1.9221,1.8478,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2006,1.62327526721453,0.0189,0,1.6604,1.5861,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2014,1.72621917261156,0.0204,0,1.7662,1.6862,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2020,1.65614823272224,0.0186,0,1.6925,1.6198,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2011,1.4413834581973,0.0178,0,1.4764,1.4064,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2000,1.56106557812257,0.0198,0,1.5999,1.5223,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2003,1.67129904120032,0.0188,0,1.7081,1.6345,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1995,1.74816596275136,0.0226,0,1.7924,1.7039,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2012,1.70455906034209,0.02,0,1.7438,1.6654,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2018,1.51636489763763,0.0183,0,1.5522,1.4805,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2010,1.68957974588623,0.0204,0,1.7296,1.6496,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2009,1.61122628921902,0.0209,0,1.6522,1.5703,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1994,1.58987856370125,0.0196,0,1.6282,1.5515,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2013,1.70790273073668,0.0206,0,1.7482,1.6676,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1983,1.6863415023022,0.0212,0,1.728,1.6447,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1996,1.65065749501502,0.0192,0,1.6884,1.613,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2015,1.55082198245021,0.0196,0,1.5893,1.5124,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1987,1.64059389291777,0.0207,0,1.6812,1.6,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1998,1.65405771199525,0.02,0,1.6933,1.6148,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1988,1.68279315257564,0.0219,0,1.7258,1.6398,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1982,1.68605252843266,0.0215,0,1.7283,1.6439,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1999,1.20841639584847,0.0214,0,1.2504,1.1665,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1986,1.68016420726525,0.0212,0,1.7217,1.6386,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1991,1.77425385466707,0.0204,0,1.8142,1.7343,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1989,1.59132892616713,0.0202,0,1.631,1.5517,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1990,1.84878838689564,0.0205,0,1.889,1.8085,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1997,1.9014890298788,0.0211,0,1.9429,1.8601,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1984,1.7197072073886,0.0186,0,1.7561,1.6833,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1985,1.51731465702748,0.0211,0,1.5586,1.476,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1993,1.68909748569445,0.0209,0,1.7301,1.6481,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,2001,1.56893658472728,0.023,0,1.614,1.5239,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,50,1992,1.64882132879424,0.0207,0,1.6894,1.6083,Q50: 8%,0.669,-0.04,Q50: =,7.33
b. East,90,1984,1.65900871078873,0.0165,0,1.6913,1.6267,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1990,1.6732755792084,0.0176,0,1.7078,1.6388,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1983,1.77724781448027,0.0184,0,1.8134,1.7411,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1996,1.56914861138544,0.0159,0,1.6004,1.5379,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1982,1.67158149715681,0.0191,0,1.7089,1.6342,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2005,1.73302142588325,0.0173,0,1.767,1.6991,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2019,1.71578694006455,0.0149,0,1.745,1.6865,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1995,1.61592401304857,0.0188,0,1.6528,1.579,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1987,1.55387987144597,0.0177,0,1.5885,1.5192,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1999,1.45247292106665,0.0172,0,1.4863,1.4187,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2013,1.52937467154895,0.0165,0,1.5617,1.497,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2007,1.71341616704752,0.018,0,1.7488,1.6781,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1994,1.662265952274,0.0163,0,1.6942,1.6304,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1993,1.80813413989511,0.0183,0,1.8439,1.7724,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2020,1.51582482803488,0.0145,0,1.5443,1.4873,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2016,1.5277447308143,0.0161,0,1.5592,1.4963,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2009,1.50353574750525,0.0167,0,1.5362,1.4709,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2002,1.38396909331847,0.0182,0,1.4196,1.3483,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,1986,1.55556827356514,0.0182,0,1.5913,1.5199,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2015,1.51512216779804,0.0158,0,1.5461,1.4842,Q90: 7%,0.191,-0.08,Q90: =,7.33
b. East,90,2012,1.52223314536201,0.0158,0,1.5531,1.4913,Q90: 7%,0.191,-0.08,Q90: =,7.33
